"State","Abbreviation","Crime_Rate"
1,"AL",409.1
2,"AK",758.9
3,"AZ",431.5
4,"AR",645.3
5,"CA",499.5
6,"CO",492.5
7,"CT",150
8,"DE",383.5
9,"FL",258.9
10,"GA",367
11,"HI",259.6
12,"ID",241.4
13,"IL",287.3
14,"IN",306.2
15,"IA",286.5
16,"KS",414.6
17,"KY",214.1
18,"LA",628.6
19,"ME",103.3
20,"MD",398.5
21,"MA",322
22,"MI",461
23,"MN",280.6
24,"MS",245
25,"MO",488
26,"MT",417.9
27,"NE",282.8
28,"NV",454
29,"NH",125.6
30,"NJ",202.9
31,"NM",780.5
32,"NY",429.3
33,"NC",405.1
34,"ND",279.6
35,"OH",293.6
36,"OK",419.7
37,"OR",342.4
38,"PA",279.9
39,"RI",172.3
40,"SC",491.3
41,"SD",377.4
42,"TN",621.6
43,"TX",431.9
44,"UT",241.8
45,"VT",221.9
46,"VA",234
47,"WA",375.6
48,"WV",277.9
49,"WI",297
50,"WY",201.9
